execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
61;1599726777;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csr();286;;
61;1599726780;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2611353;;
62;1599726788;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(0,0);336;;
62;1599726792;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(0,0);3187090;;
63;1599726876;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(0,1);340;;
63;1599726879;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(0,1);3712688;;
64;1599726884;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(32,0);331;;
64;1599726887;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(32,0);2596667;;
65;1599726889;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(64,0);326;;
65;1599726891;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(64,0);2591669;;
66;1599726894;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(128,0);327;;
66;1599726896;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(128,0);2598702;;
67;1599726898;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(10000000,0);327;;
67;1599726901;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(10000000,0);2603081;;
68;1599726976;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(10000000,1);288;;
68;1599726979;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(10000000,1);3141350;;
69;1599727060;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;mallocAL(1);572;;
69;1599727064;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;mallocAL(1);3681592;;
70;1599727073;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;mallocAL(0);606;;
70;1599727076;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;mallocAL(0);3169783;;
71;1599727082;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;vectorAL(0);615;;
71;1599727085;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(0);3183926;;
72;1599727163;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;vectorAL(1);447;;
72;1599727167;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(1);3735704;;
73;1599727167;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csr();636;;
73;1599727167;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csr();58598;;
