execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
93;1601294435;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(64,0);3550179;;
93;1601294577;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(64,0);142273099;;
93;1601294581;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(64,0);4075946;;
94;1601294593;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(128,0);3714876;;
94;1601294641;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(128,0);47675330;;
94;1601294645;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(128,0);4112816;;
95;1601294661;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(248,0);3737115;;
95;1601294688;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(248,0);26564584;;
95;1601294692;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(248,0);4208362;;
96;1601294718;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(512,0);3812159;;
96;1601294734;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(512,0);15809149;;
96;1601294738;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(512,0);4405429;;
97;1601294740;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);86284;;
97;1601294741;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;vectorAL(0);204999;;
97;1601294741;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);96435;;
98;1601294741;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(32,0);103975;;
98;1601294741;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(32,0);407752;;
98;1601294741;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(32,0);116955;;
99;1601294742;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(64,0);90537;;
99;1601294742;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(64,0);347176;;
99;1601294742;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(64,0);97124;;
100;1601294743;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(128,0);86311;;
100;1601294743;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(128,0);330202;;
100;1601294743;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(128,0);89957;;
101;1601294743;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(248,0);84799;;
101;1601294744;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(248,0);345634;;
101;1601294744;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(248,0);87656;;
102;1601294745;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(512,0);95012;;
102;1601294745;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(512,0);407540;;
102;1601294745;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(512,0);98617;;
103;1601294748;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);394669;;
103;1601294748;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;vectorAL(0);694305;;
103;1601294749;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);439343;;
104;1601294753;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(32,0);923225;;
104;1601294803;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(32,0);50007838;;
104;1601294804;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(32,0);1072262;;
105;1601294808;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(64,0);684040;;
105;1601294831;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(64,0);23108201;;
105;1601294831;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(64,0);772638;;
106;1601294834;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(128,0);557460;;
106;1601294846;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(128,0);11613398;;
106;1601294847;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(128,0);638736;;
107;1601294849;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(248,0);491360;;
107;1601294857;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(248,0);7597249;;
